observation_date,MKTGDPCHA646NWDB
1960-01-01,10412232620.5258
1961-01-01,11713348834.3069
1962-01-01,12989649694.2812
1963-01-01,14283872299.0456
1964-01-01,15833133857.6281
1965-01-01,16780226225.0850
1966-01-01,18019402373.5388
1967-01-01,19397044714.0963
1968-01-01,20712102793.8026
1969-01-01,22442043274.0740
1970-01-01,24998066773.3821
1971-01-01,30040171750.6471
1972-01-01,36844318854.2403
1973-01-01,49550006319.5147
1974-01-01,57103011445.6416
1975-01-01,65466081819.2384
1976-01-01,68476524643.9430
1977-01-01,73135771167.0480
1978-01-01,102280472035.7940
1979-01-01,114970094424.7310
1980-01-01,122557843886.1370
1981-01-01,112244805518.7860
1982-01-01,115043365512.4860
1983-01-01,114634358534.6100
1984-01-01,109455312167.5110
1985-01-01,110980314191.5270
1986-01-01,159089921062.8720
1987-01-01,199236370037.5540
1988-01-01,215540625298.9820
1989-01-01,208105846934.4090
1990-01-01,265763573999.4240
1991-01-01,268901693863.3190
1992-01-01,279921425828.4740
1993-01-01,272237527070.9260
1994-01-01,301375055202.1640
1995-01-01,352835806342.4950
1996-01-01,340103959546.9260
1997-01-01,294788198856.1980
1998-01-01,303459014346.8060
1999-01-01,297873643323.1260
2000-01-01,279216033870.2040
2001-01-01,286582672434.2260
2002-01-01,309301422430.3860
2003-01-01,362075086507.7600
2004-01-01,403912891033.3740
2005-01-01,418284865884.9980
2006-01-01,441634672196.5230
2007-01-01,490740715594.8020
2008-01-01,567267767519.1580
2009-01-01,554212916092.2710
2010-01-01,598851028906.5800
2011-01-01,715888126682.3960
2012-01-01,686420221557.9900
2013-01-01,706234937370.9680
2014-01-01,726537808338.0000
2015-01-01,694118186379.6281
2016-01-01,687895460902.7130
2017-01-01,695200833086.4990
2018-01-01,725568717468.0010
2019-01-01,721369112726.7240
2020-01-01,741999406005.6270
2021-01-01,815309330986.7190
2022-01-01,828508926958.3929
2023-01-01,894424821645.2050
2024-01-01,936564198048.5160
