"Date";"D0";"D1";"Value"
"1970";"EW";"TP3";
"1970";"EW";"TP1";
"1970";"EW";"TP2";
"1970";"EW";"AP";"37.06742122"
"1970";"EW";"TP";
"1970";"EH";"TP3";
"1970";"EH";"TP1";
"1970";"EH";"TP2";
"1970";"EH";"AP";"36.47633889"
"1970";"EH";"TP";
"1970";"MH";"TP1";
"1970";"MH";"TP2";
"1970";"MH";"TP";
"1970";"MW";"AP";"34.66497737"
"1970";"BF";"AP";"48.58816355"
"1970";"GF";"AP";"46.12073999"
"1970";"VF";"AP";"57.4925158"
"1971";"EW";"TP3";
"1971";"EW";"TP1";
"1971";"EW";"TP2";
"1971";"EW";"AP";"40.04192509"
"1971";"EW";"TP";
"1971";"EH";"TP3";
"1971";"EH";"TP1";
"1971";"EH";"TP2";
"1971";"EH";"AP";"41.77123341"
"1971";"EH";"TP";
"1971";"MH";"TP1";
"1971";"MH";"TP2";
"1971";"MH";"TP";
"1971";"MW";"AP";"40.16484999"
"1971";"BF";"AP";"52.45452225"
"1971";"GF";"AP";"54.2660101"
"1971";"VF";"AP";"54.10196081"
"1972";"EW";"TP3";
"1972";"EW";"TP1";
"1972";"EW";"TP2";
"1972";"EW";"AP";"45.1922735"
"1972";"EW";"TP";
"1972";"EH";"TP3";
"1972";"EH";"TP1";
"1972";"EH";"TP2";
"1972";"EH";"AP";"50.33160509"
"1972";"EH";"TP";
"1972";"MH";"TP1";
"1972";"MH";"TP2";
"1972";"MH";"TP";
"1972";"MW";"AP";"45.60683053"
"1972";"BF";"AP";"59.94611239"
"1972";"GF";"AP";"56.38170999"
"1972";"VF";"AP";"72.4924227"
"1973";"EW";"TP3";
"1973";"EW";"TP1";
"1973";"EW";"TP2";
"1973";"EW";"AP";"51.02109832"
"1973";"EW";"TP";
"1973";"EH";"TP3";
"1973";"EH";"TP1";
"1973";"EH";"TP2";
"1973";"EH";"AP";"59.4462652"
"1973";"EH";"TP";
"1973";"MH";"TP1";
"1973";"MH";"TP2";
"1973";"MH";"TP";
"1973";"MW";"AP";"50.33418182"
"1973";"BF";"AP";"64.89692533"
"1973";"GF";"AP";"66.65969148"
"1973";"VF";"AP";"76.55343156"
"1974";"EW";"TP3";
"1974";"EW";"TP1";
"1974";"EW";"TP2";
"1974";"EW";"AP";"50.41962955"
"1974";"EW";"TP";
"1974";"EH";"TP3";
"1974";"EH";"TP1";
"1974";"EH";"TP2";
"1974";"EH";"AP";"59.5886159"
"1974";"EH";"TP";
"1974";"MH";"TP1";
"1974";"MH";"TP2";
"1974";"MH";"TP";
"1974";"MW";"AP";"53.3904718"
"1974";"BF";"AP";"65.48228346"
"1974";"GF";"AP";"63.00792905"
"1974";"VF";"AP";"72.95022813"
"1975";"EW";"TP3";
"1975";"EW";"TP1";
"1975";"EW";"TP2";
"1975";"EW";"AP";"49.33872138"
"1975";"EW";"TP";
"1975";"EH";"TP3";
"1975";"EH";"TP1";
"1975";"EH";"TP2";
"1975";"EH";"AP";"54.96815258"
"1975";"EH";"TP";
"1975";"MH";"TP1";
"1975";"MH";"TP2";
"1975";"MH";"TP";
"1975";"MW";"AP";"52.06494286"
"1975";"BF";"AP";"63.58793091"
"1975";"GF";"AP";"56.698404"
"1975";"VF";"AP";"71.22987331"
"1976";"EW";"TP3";
"1976";"EW";"TP1";
"1976";"EW";"TP2";
"1976";"EW";"AP";"48.81474051"
"1976";"EW";"TP";
"1976";"EH";"TP3";
"1976";"EH";"TP1";
"1976";"EH";"TP2";
"1976";"EH";"AP";"52.66974549"
"1976";"EH";"TP";
"1976";"MH";"TP1";
"1976";"MH";"TP2";
"1976";"MH";"TP";
"1976";"MW";"AP";"48.69961864"
"1976";"BF";"AP";"57.72526318"
"1976";"GF";"AP";"56.48758647"
"1976";"VF";"AP";"64.76237417"
"1977";"EW";"TP3";
"1977";"EW";"TP1";
"1977";"EW";"TP2";
"1977";"EW";"AP";"52.27041038"
"1977";"EW";"TP";
"1977";"EH";"TP3";
"1977";"EH";"TP1";
"1977";"EH";"TP2";
"1977";"EH";"AP";"52.99788168"
"1977";"EH";"TP";
"1977";"MH";"TP1";
"1977";"MH";"TP2";
"1977";"MH";"TP";
"1977";"MW";"AP";"48.29315496"
"1977";"BF";"AP";"55.72894307"
"1977";"GF";"AP";"52.94199153"
"1977";"VF";"AP";"63.38747101"
"1978";"EW";"TP3";
"1978";"EW";"TP1";
"1978";"EW";"TP2";
"1978";"EW";"AP";"53.62600011"
"1978";"EW";"TP";
"1978";"EH";"TP3";
"1978";"EH";"TP1";
"1978";"EH";"TP2";
"1978";"EH";"AP";"55.31750435"
"1978";"EH";"TP";
"1978";"MH";"TP1";
"1978";"MH";"TP2";
"1978";"MH";"TP";
"1978";"MW";"AP";"48.59144342"
"1978";"BF";"AP";"58.18161351"
"1978";"GF";"AP";"56.59295857"
"1978";"VF";"AP";"70.34246385"
"1979";"EW";"TP3";
"1979";"EW";"TP1";
"1979";"EW";"TP2";
"1979";"EW";"AP";"57.70988916"
"1979";"EW";"TP";
"1979";"EH";"TP3";
"1979";"EH";"TP1";
"1979";"EH";"TP2";
"1979";"EH";"AP";"59.93001229"
"1979";"EH";"TP";
"1979";"MH";"TP1";
"1979";"MH";"TP2";
"1979";"MH";"TP";
"1979";"MW";"AP";"50.58106077"
"1979";"BF";"AP";"61.07753943"
"1979";"GF";"AP";"57.48728371"
"1979";"VF";"AP";"75.73960321"
"1980";"EW";"TP3";
"1980";"EW";"TP1";
"1980";"EW";"TP2";
"1980";"EW";"AP";"62.18685853"
"1980";"EW";"TP";
"1980";"EH";"TP3";
"1980";"EH";"TP1";
"1980";"EH";"TP2";
"1980";"EH";"AP";"65.84390784"
"1980";"EH";"TP";
"1980";"MH";"TP1";
"1980";"MH";"TP2";
"1980";"MH";"TP";
"1980";"MW";"AP";"56.7781403"
"1980";"BF";"AP";"64.45189483"
"1980";"GF";"AP";"67.11446246"
"1980";"VF";"AP";"70.00088282"
"1981";"EW";"TP3";
"1981";"EW";"TP1";
"1981";"EW";"TP2";"60.92027246"
"1981";"EW";"AP";"67.59909694"
"1981";"EW";"TP";
"1981";"EH";"TP3";
"1981";"EH";"TP1";
"1981";"EH";"TP2";"59.35077635"
"1981";"EH";"AP";"72.59223863"
"1981";"EH";"TP";
"1981";"MH";"TP1";
"1981";"MH";"TP2";
"1981";"MH";"TP";
"1981";"MW";"AP";"66.42455587"
"1981";"BF";"AP";"74.37758133"
"1981";"GF";"AP";"72.98743261"
"1981";"VF";"AP";"88.27172067"
"1982";"EW";"TP3";
"1982";"EW";"TP1";
"1982";"EW";"TP2";"73.01416181"
"1982";"EW";"AP";"70.92685018"
"1982";"EW";"TP";
"1982";"EH";"TP3";
"1982";"EH";"TP1";
"1982";"EH";"TP2";"63.79659885"
"1982";"EH";"AP";"76.12850595"
"1982";"EH";"TP";
"1982";"MH";"TP1";
"1982";"MH";"TP2";
"1982";"MH";"TP";
"1982";"MW";"AP";"74.62977172"
"1982";"BF";"AP";"76.00578133"
"1982";"GF";"AP";"68.59255621"
"1982";"VF";"AP";"84.20068333"
"1983";"EW";"TP3";
"1983";"EW";"TP1";
"1983";"EW";"TP2";"79.94315676"
"1983";"EW";"AP";"74.43078829"
"1983";"EW";"TP";
"1983";"EH";"TP3";
"1983";"EH";"TP1";
"1983";"EH";"TP2";"68.66219858"
"1983";"EH";"AP";"79.30613685"
"1983";"EH";"TP";
"1983";"MH";"TP1";
"1983";"MH";"TP2";
"1983";"MH";"TP";
"1983";"MW";"AP";"77.55089573"
"1983";"BF";"AP";"82.61854881"
"1983";"GF";"AP";"78.78035105"
"1983";"VF";"AP";"93.91861925"
"1984";"EW";"TP3";
"1984";"EW";"TP1";
"1984";"EW";"TP2";"80.97221542"
"1984";"EW";"AP";"79.54162279"
"1984";"EW";"TP";
"1984";"EH";"TP3";
"1984";"EH";"TP1";
"1984";"EH";"TP2";"73.60412145"
"1984";"EH";"AP";"83.74040805"
"1984";"EH";"TP";
"1984";"MH";"TP1";
"1984";"MH";"TP2";
"1984";"MH";"TP";
"1984";"MW";"AP";"80.21127987"
"1984";"BF";"AP";"82.94216055"
"1984";"GF";"AP";"79.20105876"
"1984";"VF";"AP";"101.40053433"
"1985";"EW";"TP3";
"1985";"EW";"TP1";"87.38975516"
"1985";"EW";"TP2";"84.50041652"
"1985";"EW";"AP";"83.91257985"
"1985";"EW";"TP";"87.74342345"
"1985";"EH";"TP3";
"1985";"EH";"TP1";"79.14764819"
"1985";"EH";"TP2";"78.08810552"
"1985";"EH";"AP";"87.82903143"
"1985";"EH";"TP";"79.11522557"
"1985";"MH";"TP1";
"1985";"MH";"TP2";
"1985";"MH";"TP";
"1985";"MW";"AP";"84.10455992"
"1985";"BF";"AP";"83.20665221"
"1985";"GF";"AP";"79.01786917"
"1985";"VF";"AP";"105.38863889"
"1986";"EW";"TP3";
"1986";"EW";"TP1";"92.74642816"
"1986";"EW";"TP2";"87.14656735"
"1986";"EW";"AP";"88.45578136"
"1986";"EW";"TP";"89.62208037"
"1986";"EH";"TP3";
"1986";"EH";"TP1";"81.39482196"
"1986";"EH";"TP2";"80.43504186"
"1986";"EH";"AP";"93.09401189"
"1986";"EH";"TP";"79.57298997"
"1986";"MH";"TP1";
"1986";"MH";"TP2";
"1986";"MH";"TP";
"1986";"MW";"AP";"86.14829103"
"1986";"BF";"AP";"95.45679553"
"1986";"GF";"AP";"78.99182119"
"1986";"VF";"AP";"107.49890795"
"1987";"EW";"TP3";
"1987";"EW";"TP1";"94.34225192"
"1987";"EW";"TP2";"90.89038075"
"1987";"EW";"AP";"96.10660341"
"1987";"EW";"TP";"93.50841155"
"1987";"EH";"TP3";
"1987";"EH";"TP1";"85.21960152"
"1987";"EH";"TP2";"83.94590598"
"1987";"EH";"AP";"99.36901454"
"1987";"EH";"TP";"80.57780646"
"1987";"MH";"TP1";
"1987";"MH";"TP2";
"1987";"MH";"TP";
"1987";"MW";"AP";"91.85507709"
"1987";"BF";"AP";"98.97733425"
"1987";"GF";"AP";"93.11317622"
"1987";"VF";"AP";"125.20274565"
"1988";"EW";"TP3";
"1988";"EW";"TP1";"104.56529222"
"1988";"EW";"TP2";"97.52535895"
"1988";"EW";"AP";"106.53214175"
"1988";"EW";"TP";"99.28979126"
"1988";"EH";"TP3";
"1988";"EH";"TP1";"88.68857702"
"1988";"EH";"TP2";"88.84966728"
"1988";"EH";"AP";"114.24955392"
"1988";"EH";"TP";"84.64826837"
"1988";"MH";"TP1";
"1988";"MH";"TP2";
"1988";"MH";"TP";
"1988";"MW";"AP";"102.30838356"
"1988";"BF";"AP";"108.20556851"
"1988";"GF";"AP";"99.29921806"
