"Date";"D0";"Value"
"1999-06-01";"H0";
"1999-06-01";"H6";
"1999-06-01";"H7";
"1999-06-01";"H8";
"1999-06-01";"H1";
"1999-06-01";"H2";
"1999-06-01";"H3";
"1999-06-01";"H4";
"1999-06-01";"H5";
"1999-06-02";"H0";
"1999-06-02";"H6";
"1999-06-02";"H7";
"1999-06-02";"H8";
"1999-06-02";"H1";
"1999-06-02";"H2";
"1999-06-02";"H3";
"1999-06-02";"H4";
"1999-06-02";"H5";
"1999-06-03";"H0";
"1999-06-03";"H6";
"1999-06-03";"H7";
"1999-06-03";"H8";
"1999-06-03";"H1";
"1999-06-03";"H2";
"1999-06-03";"H3";
"1999-06-03";"H4";
"1999-06-03";"H5";
"1999-06-04";"H0";
"1999-06-04";"H6";
"1999-06-04";"H7";
"1999-06-04";"H8";
"1999-06-04";"H1";
"1999-06-04";"H2";
"1999-06-04";"H3";
"1999-06-04";"H4";
"1999-06-04";"H5";
"1999-06-07";"H0";
"1999-06-07";"H6";
"1999-06-07";"H7";
"1999-06-07";"H8";
"1999-06-07";"H1";
"1999-06-07";"H2";
"1999-06-07";"H3";
"1999-06-07";"H4";
"1999-06-07";"H5";
"1999-06-08";"H0";
"1999-06-08";"H6";
"1999-06-08";"H7";
"1999-06-08";"H8";
"1999-06-08";"H1";
"1999-06-08";"H2";
"1999-06-08";"H3";
"1999-06-08";"H4";
"1999-06-08";"H5";
"1999-06-09";"H0";
"1999-06-09";"H6";
"1999-06-09";"H7";
"1999-06-09";"H8";
"1999-06-09";"H1";
"1999-06-09";"H2";
"1999-06-09";"H3";
"1999-06-09";"H4";
"1999-06-09";"H5";
"1999-06-10";"H0";
"1999-06-10";"H6";
"1999-06-10";"H7";
"1999-06-10";"H8";
"1999-06-10";"H1";
"1999-06-10";"H2";
"1999-06-10";"H3";
"1999-06-10";"H4";
"1999-06-10";"H5";
"1999-06-11";"H0";
"1999-06-11";"H6";
"1999-06-11";"H7";
"1999-06-11";"H8";
"1999-06-11";"H1";
"1999-06-11";"H2";
"1999-06-11";"H3";
"1999-06-11";"H4";
"1999-06-11";"H5";
"1999-06-14";"H0";
"1999-06-14";"H6";
"1999-06-14";"H7";
"1999-06-14";"H8";
"1999-06-14";"H1";
"1999-06-14";"H2";
"1999-06-14";"H3";
"1999-06-14";"H4";
"1999-06-14";"H5";
"1999-06-15";"H0";
"1999-06-15";"H6";
"1999-06-15";"H7";
"1999-06-15";"H8";
"1999-06-15";"H1";
"1999-06-15";"H2";
"1999-06-15";"H3";
"1999-06-15";"H4";
"1999-06-15";"H5";
"1999-06-16";"H0";
"1999-06-16";"H6";
"1999-06-16";"H7";
"1999-06-16";"H8";
"1999-06-16";"H1";
"1999-06-16";"H2";
"1999-06-16";"H3";
"1999-06-16";"H4";
"1999-06-16";"H5";
"1999-06-17";"H0";
"1999-06-17";"H6";
"1999-06-17";"H7";
"1999-06-17";"H8";
"1999-06-17";"H1";
"1999-06-17";"H2";
"1999-06-17";"H3";
"1999-06-17";"H4";
"1999-06-17";"H5";
"1999-06-18";"H0";
"1999-06-18";"H6";
"1999-06-18";"H7";
"1999-06-18";"H8";
"1999-06-18";"H1";
"1999-06-18";"H2";
"1999-06-18";"H3";
"1999-06-18";"H4";
"1999-06-18";"H5";
"1999-06-21";"H0";"0.7"
"1999-06-21";"H6";
"1999-06-21";"H7";
"1999-06-21";"H8";
"1999-06-21";"H1";"0.761538"
"1999-06-21";"H2";"0.792727"
"1999-06-21";"H3";"0.73"
"1999-06-21";"H4";
"1999-06-21";"H5";
"1999-06-22";"H0";"0.73"
"1999-06-22";"H6";
"1999-06-22";"H7";
"1999-06-22";"H8";
"1999-06-22";"H1";"0.8"
