"CubeId";"gdppr"
"PublishingDate";"2026-01-21 09:00"

"Date";"D0";"D1";"Value"
"1980-Q3";"WMF";"BBIP";"92101.49495853"
"1980-Q3";"VVP";"BBIP";"0.48826237"
"1980-Q4";"WMF";"BBIP";"92639.12287965"
"1980-Q4";"VVP";"BBIP";"0.5837342"
"1981-Q1";"WMF";"BBIP";"92657.77765539"
"1981-Q1";"VVP";"BBIP";"0.02013704"
"1981-Q2";"WMF";"BBIP";"93539.30169891"
"1981-Q2";"VVP";"BBIP";"0.9513762"
"1981-Q3";"WMF";"BBIP";"93820.46712295"
"1981-Q3";"VVP";"BBIP";"0.30058534"
"1981-Q4";"WMF";"BBIP";"93674.62715708"
"1981-Q4";"VVP";"BBIP";"-0.15544579"
"1982-Q1";"WMF";"BBIP";"92868.52665588"
"1982-Q1";"VVP";"BBIP";"-0.86053238"
"1982-Q2";"WMF";"BBIP";"92389.89459963"
"1982-Q2";"VVP";"BBIP";"-0.51538672"
"1982-Q3";"WMF";"BBIP";"91729.34664339"
"1982-Q3";"VVP";"BBIP";"-0.71495693"
"1982-Q4";"WMF";"BBIP";"91728.9480447"
"1982-Q4";"VVP";"BBIP";"-0.00043454"
"1983-Q1";"WMF";"BBIP";"92203.10851393"
"1983-Q1";"VVP";"BBIP";"0.51691476"
"1983-Q2";"WMF";"BBIP";"92447.66000783"
"1983-Q2";"VVP";"BBIP";"0.26523129"
"1983-Q3";"WMF";"BBIP";"92931.04457254"
"1983-Q3";"VVP";"BBIP";"0.52287377"
"1983-Q4";"WMF";"BBIP";"93467.9374583"
"1983-Q4";"VVP";"BBIP";"0.57773254"
"1984-Q1";"WMF";"BBIP";"94176.37973996"
"1984-Q1";"VVP";"BBIP";"0.75795219"
"1984-Q2";"WMF";"BBIP";"94847.56191886"
"1984-Q2";"VVP";"BBIP";"0.71268632"
"1984-Q3";"WMF";"BBIP";"96181.00157568"
"1984-Q3";"VVP";"BBIP";"1.40587658"
"1984-Q4";"WMF";"BBIP";"96927.88872349"
"1984-Q4";"VVP";"BBIP";"0.77654333"
"1985-Q1";"WMF";"BBIP";"98108.73142896"
"1985-Q1";"VVP";"BBIP";"1.21826929"
"1985-Q2";"WMF";"BBIP";"98846.25723478"
"1985-Q2";"VVP";"BBIP";"0.75174329"
"1985-Q3";"WMF";"BBIP";"99173.30588409"
"1985-Q3";"VVP";"BBIP";"0.33086599"
"1985-Q4";"WMF";"BBIP";"100362.11452131"
"1985-Q4";"VVP";"BBIP";"1.19871837"
"1986-Q1";"WMF";"BBIP";"100596.59759058"
"1986-Q1";"VVP";"BBIP";"0.23363704"
"1986-Q2";"WMF";"BBIP";"101080.3360073"
"1986-Q2";"VVP";"BBIP";"0.48086956"
"1986-Q3";"WMF";"BBIP";"101095.5038151"
"1986-Q3";"VVP";"BBIP";"0.0150057"
"1986-Q4";"WMF";"BBIP";"101001.47577752"
"1986-Q4";"VVP";"BBIP";"-0.09300912"
"1987-Q1";"WMF";"BBIP";"101168.38944315"
"1987-Q1";"VVP";"BBIP";"0.16525864"
"1987-Q2";"WMF";"BBIP";"101860.16737217"
"1987-Q2";"VVP";"BBIP";"0.68378862"
"1987-Q3";"WMF";"BBIP";"103253.49469294"
"1987-Q3";"VVP";"BBIP";"1.36788242"
"1987-Q4";"WMF";"BBIP";"103851.32426379"
"1987-Q4";"VVP";"BBIP";"0.57899209"
"1988-Q1";"WMF";"BBIP";"104353.9060775"
"1988-Q1";"VVP";"BBIP";"0.48394358"
"1988-Q2";"WMF";"BBIP";"104873.86159414"
"1988-Q2";"VVP";"BBIP";"0.49826167"
"1988-Q3";"WMF";"BBIP";"106096.87393917"
"1988-Q3";"VVP";"BBIP";"1.16617461"
"1988-Q4";"WMF";"BBIP";"107878.25406438"
"1988-Q4";"VVP";"BBIP";"1.67901283"
"1989-Q1";"WMF";"BBIP";"108386.22548504"
"1989-Q1";"VVP";"BBIP";"0.47087471"
"1989-Q2";"WMF";"BBIP";"110199.57354893"
"1989-Q2";"VVP";"BBIP";"1.67304291"
"1989-Q3";"WMF";"BBIP";"111157.35927571"
"1989-Q3";"VVP";"BBIP";"0.86913742"
"1989-Q4";"WMF";"BBIP";"112190.25577125"
"1989-Q4";"VVP";"BBIP";"0.92922007"
"1990-Q1";"WMF";"BBIP";"114400.71858744"
"1990-Q1";"VVP";"BBIP";"1.97028057"
"1990-Q2";"WMF";"BBIP";"114879.48063974"
"1990-Q2";"VVP";"BBIP";"0.41849567"
"1990-Q3";"WMF";"BBIP";"114815.16382174"
"1990-Q3";"VVP";"BBIP";"-0.05598634"
"1990-Q4";"WMF";"BBIP";"114151.47830052"
"1990-Q4";"VVP";"BBIP";"-0.57804692"
"1991-Q1";"WMF";"BBIP";"114403.90418496"
"1991-Q1";"VVP";"BBIP";"0.22113238"
"1991-Q2";"WMF";"BBIP";"113215.36193871"
"1991-Q2";"VVP";"BBIP";"-1.03890007"
"1991-Q3";"WMF";"BBIP";"113124.45837828"
"1991-Q3";"VVP";"BBIP";"-0.0802926"
"1991-Q4";"WMF";"BBIP";"113349.57954188"
"1991-Q4";"VVP";"BBIP";"0.19900309"
"1992-Q1";"WMF";"BBIP";"113996.32368313"
"1992-Q1";"VVP";"BBIP";"0.5705748"
"1992-Q2";"WMF";"BBIP";"113898.61873776"
"1992-Q2";"VVP";"BBIP";"-0.08570886"
"1992-Q3";"WMF";"BBIP";"113071.63014083"
"1992-Q3";"VVP";"BBIP";"-0.7260743"
"1992-Q4";"WMF";"BBIP";"112504.38624469"
"1992-Q4";"VVP";"BBIP";"-0.50166774"
"1993-Q1";"WMF";"BBIP";"112130.44863848"
"1993-Q1";"VVP";"BBIP";"-0.33237602"
"1993-Q2";"WMF";"BBIP";"113159.22713136"
"1993-Q2";"VVP";"BBIP";"0.91748361"
"1993-Q3";"WMF";"BBIP";"113590.72172552"
"1993-Q3";"VVP";"BBIP";"0.38131631"
"1993-Q4";"WMF";"BBIP";"114212.32831605"
"1993-Q4";"VVP";"BBIP";"0.5472336"
"1994-Q1";"WMF";"BBIP";"114854.74438377"
"1994-Q1";"VVP";"BBIP";"0.56247524"
"1994-Q2";"WMF";"BBIP";"113899.2291904"
"1994-Q2";"VVP";"BBIP";"-0.83193359"
"1994-Q3";"WMF";"BBIP";"114835.17914468"
"1994-Q3";"VVP";"BBIP";"0.82173511"
"1994-Q4";"WMF";"BBIP";"115231.44990893"
"1994-Q4";"VVP";"BBIP";"0.34507785"
"1995-Q1";"WMF";"BBIP";"114788.01496183"
"1995-Q1";"VVP";"BBIP";"-0.38482111"
"1995-Q2";"WMF";"BBIP";"115155.3732651"
"1995-Q2";"VVP";"BBIP";"0.32003193"
"1995-Q3";"WMF";"BBIP";"115752.51408744"
"1995-Q3";"VVP";"BBIP";"0.51855229"
"1995-Q4";"WMF";"BBIP";"115506.08765842"
"1995-Q4";"VVP";"BBIP";"-0.21289078"
"1996-Q1";"WMF";"BBIP";"116410.6566464"
"1996-Q1";"VVP";"BBIP";"0.78313534"
"1996-Q2";"WMF";"BBIP";"115781.50312505"
"1996-Q2";"VVP";"BBIP";"-0.54046042"
"1996-Q3";"WMF";"BBIP";"115617.95009035"
"1996-Q3";"VVP";"BBIP";"-0.14126007"
"1996-Q4";"WMF";"BBIP";"116008.92945546"
"1996-Q4";"VVP";"BBIP";"0.33816493"
"1997-Q1";"WMF";"BBIP";"116562.41754529"
"1997-Q1";"VVP";"BBIP";"0.47710818"
"1997-Q2";"WMF";"BBIP";"117646.24640424"
"1997-Q2";"VVP";"BBIP";"0.92982702"
"1997-Q3";"WMF";"BBIP";"119369.94890157"
"1997-Q3";"VVP";"BBIP";"1.46515724"
"1997-Q4";"WMF";"BBIP";"119833.49617556"
"1997-Q4";"VVP";"BBIP";"0.38832828"
"1998-Q1";"WMF";"BBIP";"120839.51854682"
"1998-Q1";"VVP";"BBIP";"0.83951683"
"1998-Q2";"WMF";"BBIP";"122218.73640222"
"1998-Q2";"VVP";"BBIP";"1.14136325"
"1998-Q3";"WMF";"BBIP";"122021.31880306"
"1998-Q3";"VVP";"BBIP";"-0.1615281"
"1998-Q4";"WMF";"BBIP";"121259.61154538"
"1998-Q4";"VVP";"BBIP";"-0.62424113"
"1999-Q1";"WMF";"BBIP";"121907.31778422"
"1999-Q1";"VVP";"BBIP";"0.53414837"
"1999-Q2";"WMF";"BBIP";"122575.26903632"
"1999-Q2";"VVP";"BBIP";"0.54791727"
"1999-Q3";"WMF";"BBIP";"123484.30348947"
"1999-Q3";"VVP";"BBIP";"0.74161326"
"1999-Q4";"WMF";"BBIP";"126383.40429311"
"1999-Q4";"VVP";"BBIP";"2.34774844"
