"REGION","CANTON","PERIOD","VALUE","STATUS","OBS_COEF"
"Total","Total","2024-02","2.43360228344759","A","A"
"1","Total","2024-02","3.76610399088017","A","A"
"1","22","2024-02","3.82682009358205","A","A"
"1","23","2024-02","2.88979332706021","A","A"
"1","25","2024-02","4.28802980452874","A","A"
"2","Total","2024-02","2.17687088342086","A","A"
"2","2","2024-02","1.7681978066344","A","A"
"2","10","2024-02","2.46932807281663","A","A"
"2","11","2024-02","2.26625845304983","A","A"
"2","24","2024-02","3.3137173269722","A","A"
"2","26","2024-02","3.93438103115522","A","B"
"3","Total","2024-02","2.70764177979125","A","A"
"3","12","2024-02","3.81668052750386","A","A"
"3","13","2024-02","2.17578482690757","A","A"
"3","19","2024-02","2.61735998140832","A","A"
"4","Total","2024-02","2.12353000406234","A","A"
"4","1","2024-02","2.12353000406234","A","A"
"5","Total","2024-02","1.81579308281176","A","A"
"5","8","2024-02","1.3753712588531","A","B"
"5","14","2024-02","2.85049313300765","A","B"
"5","15","2024-02","1.45583516297923","A","B"
"5","16","2024-02","0.691483231531635","A","C"
"5","17","2024-02","1.82464223940259","A","A"
"5","18","2024-02","0.974756775861748","A","A"
"5","20","2024-02","2.29172090601406","A","A"
"6","Total","2024-02","1.41261815783689","A","A"
"6","3","2024-02","1.50916293039655","A","A"
"6","4","2024-02","1.10829147029882","A","C"
"6","5","2024-02","1.02020426287744","A","A"
"6","6","2024-02","0.773676360924683","A","C"
"6","7","2024-02","0.824973053643976","A","B"
"6","9","2024-02","2.08110764497244","A","B"
"7","Total","2024-02","3.02865169899973","A","A"
"7","21","2024-02","3.02865169899973","A","A"
"Total","Total","2024-01","2.4617929944778","A","A"
"1","Total","2024-01","3.86662723643354","A","A"
"1","22","2024-01","3.84565239435804","A","A"
"1","23","2024-01","3.30926116974843","A","A"
"1","25","2024-01","4.29810979936778","A","A"
"2","Total","2024-01","2.20140152387914","A","A"
"2","2","2024-01","1.77748718690769","A","A"
"2","10","2024-01","2.53393090957333","A","A"
"2","11","2024-01","2.32816337516401","A","A"
"2","24","2024-01","3.29008810324846","A","A"
"2","26","2024-01","3.96746622553074","A","B"
"3","Total","2024-01","2.71546918080657","A","A"
"3","12","2024-01","3.89885549087165","A","A"
"3","13","2024-01","2.17031803086006","A","A"
"3","19","2024-01","2.61049373587138","A","A"
"4","Total","2024-01","2.11427109844184","A","A"
"4","1","2024-01","2.11427109844184","A","A"
"5","Total","2024-01","1.84135226791013","A","A"
"5","8","2024-01","1.3753712588531","A","B"
"5","14","2024-01","2.901189049682","A","B"
"5","15","2024-01","1.43894612396555","A","B"
"5","16","2024-01","0.633859628903999","A","C"
"5","17","2024-01","1.82572554174144","A","A"
"5","18","2024-01","1.19705340699816","A","A"
"5","20","2024-01","2.23314241083051","A","A"
"6","Total","2024-01","1.40536381622335","A","A"
"6","3","2024-01","1.50785704957994","A","A"
"6","4","2024-01","1.28437516184163","A","C"
"6","5","2024-01","1.02797513321492","A","A"
"6","6","2024-01","0.764354958985831","A","C"
"6","7","2024-01","0.804245087472017","A","B"
"6","9","2024-01","1.98994344971013","A","B"
"7","Total","2024-01","3.0928334423212","A","A"
"7","21","2024-01","3.0928334423212","A","A"
"Total","Total","2023-12","2.32440678238925","A","A"
"1","Total","2023-12","3.68776025146313","A","A"
"1","22","2023-12","3.64694747719602","A","A"
"1","23","2023-12","3.20836214812883","A","A"
"1","25","2023-12","4.09691310238049","A","A"
"2","Total","2023-12","2.0618648848351","A","A"
"2","2","2023-12","1.65100870164833","A","A"
"2","10","2023-12","2.36896295142674","A","A"
"2","11","2023-12","2.2171382431114","A","A"
"2","24","2023-12","3.06504787730807","A","A"
"2","26","2023-12","3.84063964709126","A","B"
"3","Total","2023-12","2.52489592751507","A","A"
"3","12","2023-12","3.53748366401331","A","A"
"3","13","2023-12","2.04799846929711","A","A"
"3","19","2023-12","2.43910168381467","A","A"
"4","Total","2023-12","2.01682111678605","A","A"
"4","1","2023-12","2.01682111678605","A","A"
"5","Total","2023-12","1.73101139565619","A","A"
"5","8","2023-12","1.23829106694083","A","B"
"5","14","2023-12","2.67305742464743","A","B"
"5","15","2023-12","1.30383381185611","A","B"
"5","16","2023-12","0.610810187852945","A","C"
"5","17","2023-12","1.72497842422842","A","A"
"5","18","2023-12","1.18682218129732","A","A"
"5","20","2023-12","2.07237698516011","A","A"
"6","Total","2023-12","1.33765662783029","A","A"
"6","3","2023-12","1.4425630087494","A","A"
"6","4","2023-12","1.05650214925682","A","C"
"6","5","2023-12","0.94360568383659","A","A"
"6","6","2023-12","0.708426547352722","A","C"
"6","7","2023-12","0.775225934831274","A","B"
"6","9","2023-12","1.96287907924163","A","B"
"7","Total","2023-12","2.87485771028603","A","A"
"7","21","2023-12","2.87485771028603","A","A"
"Total","Total","2023-11","2.13194427375095","A","A"
"1","Total","2023-11","3.3739083151684","A","A"
"1","22","2023-11","3.38739974214234","A","A"
"1","23","2023-11","2.49073202807033","A","A"
"1","25","2023-11","3.97958196245404","A","A"
"2","Total","2023-11","1.87316765054067","A","A"
"2","2","2023-11","1.50648738162739","A","A"
"2","10","2023-11","2.09728495042309","A","A"
"2","11","2023-11","1.99374221982976","A","A"
"2","24","2023-11","2.82312963442215","A","A"
"2","26","2023-11","3.63937138130687","A","B"
"3","Total","2023-11","2.32585630169679","A","A"
"3","12","2023-11","3.27313769751693","A","A"
"3","13","2023-11","1.87852779182441","A","A"
"3","19","2023-11","2.24605454967993","A","A"
"4","Total","2023-11","1.8557161589893","A","A"
"4","1","2023-11","1.8557161589893","A","A"
"5","Total","2023-11","1.59698152257936","A","A"
"5","8","2023-11","1.14690427233265","A","B"
"5","14","2023-11","2.64079638676376","A","B"
"5","15","2023-11","1.22276642459044","A","B"
"5","16","2023-11","0.518612423648727","A","C"
"5","17","2023-11","1.55706656170671","A","A"
"5","18","2023-11","1.16077906133155","A","A"
"5","20","2023-11","1.87646446237959","A","A"
"6","Total","2023-11","1.21235436359639","A","A"
"6","3","2023-11","1.29935141252775","A","A"
"6","4","2023-11","0.880418457714019","A","C"
"6","5","2023-11","0.849245115452931","A","A"
"6","6","2023-11","0.638516032811335","A","C"
"6","7","2023-11","0.725478816018572","A","B"
"6","9","2023-11","1.82755722689914","A","B"
"7","Total","2023-11","2.72469665043958","A","A"
"7","21","2023-11","2.72469665043958","A","A"
"Total","Total","2023-10","2.03519096922753","A","A"
"1","Total","2023-10","3.28817140703925","A","A"
"1","22","2023-10","3.34514778527314","A","A"
"1","23","2023-10","2.16309363202467","A","A"
"1","25","2023-10","3.99329075543513","A","A"
"2","Total","2023-10","1.76352462598222","A","A"
"2","2","2023-10","1.40091000198293","A","A"
"2","10","2023-10","1.97673144254674","A","A"
"2","11","2023-10","1.8941560407765","A","A"
"2","24","2023-10","2.7319883429163","A","A"
"2","26","2023-10","3.43258891645988","A","B"
"3","Total","2023-10","2.23224697526861","A","A"
"3","12","2023-10","3.10581759138252","A","A"
"3","13","2023-10","1.81292623925433","A","A"
"3","19","2023-10","2.16128282593539","A","A"
"4","Total","2023-10","1.79472311821423","A","A"
"4","1","2023-10","1.79472311821423","A","A"
"5","Total","2023-10","1.53339525721268","A","A"
"5","8","2023-10","1.13776559287183","A","B"
"5","14","2023-10","2.5693612314499","A","B"
"5","15","2023-10","1.23289984799865","A","B"
"5","16","2023-10","0.437939379970036","A","C"
"5","17","2023-10","1.50831795645847","A","A"
"5","18","2023-10","1.03056346150269","A","A"
"5","20","2023-10","1.81398073418381","A","A"
"6","Total","2023-10","1.11409100901297","A","A"
"6","3","2023-10","1.17224567971097","A","A"
"6","4","2023-10","0.807913408255218","A","C"
"6","5","2023-10","0.778197158081705","A","A"
"6","6","2023-10","0.587248322147651","A","C"
"6","7","2023-10","0.692314070143437","A","B"
