,ZWEX,IMPI,GDP,GDP_growth,CHECPIALLMINMEI,IRLTLT01CHM156N,net_migration,population,vacancy_rate
1993-01-01,103.77,115.447843515,112130.44863848,-0.33237602,86.47165,5.539,2238.0,363504.0,0.3
1993-04-01,104.49,115.783942105,113159.22713136,0.91748361,87.75593,4.845,816.0,364188.0,0.3
1993-07-01,104.1,113.42504481,113590.72172552,0.38131631,87.73057,4.546,-1504.0,362572.0,0.3
1993-10-01,103.78,113.624619935,114212.32831605,0.5472336,88.17464,4.208,-1491.0,360898.0,0.3
1994-01-01,104.98,115.40936155,114854.74438377,0.56247524,88.26907,4.206,1886.0,362604.0,0.42
1994-04-01,106.45,114.96792576,113899.2291904,-0.83193359,88.67504,5.062,1283.0,363708.0,0.42
1994-07-01,107.78,114.397375495,114835.17914468,0.82173511,88.24812,5.273,-475.0,363117.0,0.42
1994-10-01,107.17,112.66658158999999,115231.44990893,0.34507785,88.55745999999998,5.594,-2040.0,360848.0,0.42
1995-01-01,103.48,112.01262166500001,114788.01496183,-0.38482111,89.16492,5.322,954.0,361485.0,0.49
1995-04-01,102.46,111.38857877,115155.3732651,0.32003193,90.09074,5.033,1687.0,363014.0,0.49
1995-07-01,102.02,110.26830367,115752.51408744,0.51855229,90.03871,4.859,-766.0,362197.0,0.49
1995-10-01,102.37,108.29554289500001,115506.08765842,-0.21289078,90.30325,4.38,-1148.0,360826.0,0.49
1996-01-01,96.4,106.74068624,116410.6566464,0.78313534,90.51877,4.437,1129.0,361594.0,0.56
1996-04-01,96.91,106.35655914,115781.50312505,-0.54046042,90.91181,4.329,1219.0,362693.0,0.56
1996-07-01,96.06,106.11125872,115617.95009035,-0.14126007,90.62963,4.561,-1955.0,360690.0,0.56
1996-10-01,96.45,103.08175675000001,116008.92945546,0.33816493,91.06187000000001,4.166,-896.0,359648.0,0.56
1997-01-01,98.51,102.45778777,116562.41754529,0.47710818,91.27017,3.959,91.0,359390.0,0.71
1997-04-01,93.49,101.24010928499999,117646.24640424,0.92982702,91.38655,3.769,1301.0,360604.0,0.71
1997-07-01,92.69,101.37193296000001,119369.94890157,1.46515724,91.09455,3.585,-1633.0,358992.0,0.71
1997-10-01,90.84,100.27665851500001,119833.49617556,0.38832828,91.30024,3.719,-226.0,358594.0,0.71
1998-01-01,89.82,100.56887573,120839.51854682,0.83951683,91.2842,3.084,480.0,358863.0,0.55
1998-04-01,91.05,99.97249901,122218.73640222,1.14136325,91.3659,3.344,1038.0,359870.0,0.55
1998-07-01,92.13,100.41887145000001,122021.31880306,-0.1615281,91.16301,3.19,-1214.0,358583.0,0.55
1998-10-01,91.02,99.91236936499999,121259.61154538,-0.62424113,91.33152,2.914,692.0,359073.0,0.55
1999-01-01,91.69,100.46746698499999,121907.31778422,0.53414837,91.35076,2.555,886.0,359659.0,0.36
1999-04-01,90.08,100.09231572,122575.26903632,0.54791727,91.9084,2.534,1903.0,361504.0,0.36
1999-07-01,91.82,99.98777184,123484.30348947,0.74161326,91.83302,3.044,-1176.0,360382.0,0.36
1999-10-01,90.43,100.29148613999999,126383.40429311,2.34774844,92.46093,3.625,477.0,360704.0,0.36
2000-01-01,90.88,100.0,127007.59994119,0.49389052,92.79904,3.784,-337.0,360098.0,0.19
2000-04-01,91.53,101.03047608,127399.81531549,0.30881252,93.1974,4.076,1199.0,361297.0,0.19
2000-07-01,90.23,102.47181264,128396.29927175,0.78217064,93.56759,3.976,-1142.0,360196.0,0.19
2000-10-01,91.96,102.1941676,129986.8564374,1.23878739,93.69269000000001,3.927,975.0,360980.0,0.19
2001-01-01,93.64,103.133720775,129890.20771037,-0.07435269,94.00123,3.497,522.0,361389.0,0.07
2001-04-01,93.76,103.97785825,130466.61225703,0.4437629,94.28461,3.529,1858.0,363170.0,0.07
2001-07-01,94.46,105.320642125,130429.69321768,-0.02829769,94.83222,3.357,-811.0,362322.0,0.07
2001-10-01,93.38,105.914300665,130364.23784689,-0.05018441,94.2832,3.005,-36.0,362042.0,0.07
2002-01-01,94.21,108.648336475,130449.31227635,0.06525902,94.49140000000001,3.59,996.0,362899.0,0.04
2002-04-01,93.15,109.95160528,131107.66300597,0.50467934,95.31909,3.528,1048.0,363945.0,0.04
2002-07-01,92.44,111.995542985,131218.25268387,0.08435028,94.78331,3.248,-219.0,363801.0,0.04
2002-10-01,93.38,113.68273228999999,130357.8632421,-0.65569341,95.44971,2.863,864.0,364558.0,0.04
2003-01-01,95.11,115.09868786000001,129540.51955957,-0.62699991,95.29143,2.396,146.0,364591.0,0.08
2003-04-01,96.12,116.049162605,129386.79571583,-0.11866854,95.95953,2.659,304.0,364859.0,0.08
2003-07-01,94.91,117.29004824500001,130545.67046939,0.89566694,95.03962000000001,2.666,-705.0,364174.0,0.08
2003-10-01,98.69,116.642086395,131896.63265649,1.0348579,95.88274,2.882,405.0,364528.0,0.08
2004-01-01,96.95,117.577197155,132740.97133903,0.64015181,95.45582,2.852,-3.0,364420.0,0.15
2004-04-01,96.36,119.10607519999999,133701.43156259,0.72355974,96.48329,2.809,938.0,365428.0,0.15
2004-07-01,100.32,120.00628939,133764.78292698,0.04738271,95.85929,2.957,-1208.0,364445.0,0.15
2004-10-01,97.59,119.74465762,134232.66270312,0.349778,97.12212,2.623,499.0,364977.0,0.15
2005-01-01,100.35,120.02020883,135330.63825804,0.81796452,96.60588000000001,2.249,132.0,365056.0,0.08
2005-04-01,102.51,120.49690496,137022.51011845,1.25017652,97.84957,2.074,906.0,366103.0,0.08
2005-07-01,102.51,121.891059215,138385.6122629,0.99480162,96.99913,1.955,-121.0,366174.0,0.08
2005-10-01,101.99,121.986894465,139751.25703215,0.98684014,98.41703,2.097,624.0,366809.0,0.08
2006-01-01,100.0,122.87113551,141436.45797193,1.20585745,97.85297000000001,2.153,360.0,367216.0,0.13
2006-04-01,101.96,122.960307625,142667.39716839,0.87031252,98.88596,2.752,1528.0,368909.0,0.13
2006-07-01,102.07,123.624377885,143742.6467131,0.75367573,98.38104000000001,2.742,-484.0,368647.0,0.13
2006-10-01,103.59,124.22819118500001,145730.32783523,1.38280543,98.67155,2.495,1258.0,370062.0,0.13
2007-01-01,104.97,125.8399024,146757.92405146,0.70513546,97.95282,2.619,840.0,370965.0,0.09
