,zwex_return,impi_return,inflation_rate,rate_change,vacancy_rate,gdp_growth,population_change_d
1993-07-01,-0.3732414585127741,-2.0373268107081732,-0.028898331998772342,-0.2989999999999995,0.3,0.38131631,-0.6318953596753163
1993-10-01,-0.3073967339096928,0.1759533137803082,0.5061747575560105,-0.3380000000000001,0.3,0.5472336,-0.017974533654041558
1994-01-01,1.1562921564848727,1.5707349481309363,0.10709428470589977,-0.0019999999999997797,0.42,0.56247524,0.9344111407001421
1994-04-01,1.40026671747,-0.3824956520609102,0.45992327776875896,0.8559999999999999,0.42,-0.83193359,-0.1682453663435446
1994-07-01,1.2494128698919749,-0.4962690778565815,-0.4814432561857318,0.2109999999999994,0.42,0.82173511,-0.4669573632399948
1994-10-01,-0.5659677120059325,-1.51296644482517,0.35053437965588685,0.3210000000000006,0.42,0.34507785,-0.46237447807849774
1995-01-01,-3.443127740972285,-0.5804382415540044,0.6859501164554915,-0.27200000000000024,0.49,-0.38482111,0.8013960884291071
1995-04-01,-0.9856977193660743,-0.5571183726654882,1.0383231432271822,-0.2889999999999997,0.49,0.32003193,0.24644881881163982
1995-07-01,-0.42943587741557376,-1.0057360569373897,-0.057752883370698616,-0.17400000000000038,0.49,0.51855229,-0.648037630797127
1995-10-01,0.3430699862772002,-1.7890551585012848,0.2938069636937435,-0.4790000000000001,0.49,-0.21289078,-0.15346309929582524
1996-01-01,-5.831786656246951,-1.435753137603768,0.23866250660966593,0.057000000000000384,0.56,0.78313534,0.5913682621808469
1996-04-01,0.5290456431535251,-0.3598694307963446,0.4342082863034946,-0.10800000000000054,0.56,-0.54046042,0.09108706190152915
1996-07-01,-0.877102466205748,-0.2306396727982829,-0.31038871627349085,0.2320000000000002,0.56,-0.14126007,-0.8561897287944986
1996-10-01,0.40599625234227776,-2.855024062992284,0.4769301165634232,-0.3949999999999996,0.56,0.33816493,0.26336695732587234
1997-01-01,2.135821669258675,-0.6053146547679522,0.22874557704557485,-0.2070000000000003,0.71,0.47710818,0.2171539278734702
1997-04-01,-5.095929347274398,-1.1884684527187606,0.12751154073669113,-0.18999999999999995,0.71,0.92982702,0.4095314057241395
1997-07-01,-0.855706492673014,0.1302089418225405,-0.31952185524019017,-0.18400000000000016,0.71,1.46515724,-0.7848223609278726
1997-10-01,-1.9959003128708575,-1.0804513764497092,0.22579836005556242,0.1339999999999999,0.71,0.38832828,0.33616178422800624
1998-01-01,-1.1228533685601172,0.291411001650288,-0.017568409458734724,-0.6349999999999998,0.55,0.83951683,0.18588117854688724
1998-04-01,1.369405477621921,-0.5930032683283626,0.08950070220257178,0.2599999999999998,0.55,1.14136325,0.20559327908329372
1998-07-01,1.186161449752876,0.4464952306087122,-0.2220631548531693,-0.15399999999999991,0.55,-0.1615281,-0.6382376211872876
1998-10-01,-1.2048192771084376,-0.5043893420493051,0.18484470839652545,-0.2759999999999998,0.55,-0.62424113,0.49427812052400544
